"school","sex","age","address","famsize","parent_status","mother_edu","father_edu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","weekday_alcohol_consume","weekend_alcohol_consume","health","absences","first_period_grade","second_period_grade","final_grade","subject","avg_grade","performance","absence_level","parent_edu"
"GP","Male",17,"Urban","Large","Together","3","2","services","services","course","mother",1,"Low","3","no","yes","no","yes","yes","yes","yes","no","5","5","5","2","4","5",16,6,5,5,"Math",5.33,"Low","High",3.5
"GP","Male",16,"Urban","Small","Together","4","3","health","other","home","father",1,"Low","0","no","no","yes","yes","yes","yes","yes","no","3","1","3","1","3","5",4,8,10,10,"Math",9.33,"Medium","Low",4.5
"GP","Male",15,"Urban","Large","Together","4","3","teacher","other","reputation","mother",1,"Medium","0","no","no","no","no","yes","yes","yes","no","4","4","1","1","1","1",0,13,14,15,"Math",14,"High","None",4.5
"GP","Male",15,"Urban","Large","Together","4","4","health","health","other","father",1,"Low","0","no","yes","yes","no","yes","yes","yes","no","5","4","2","1","1","5",0,12,15,15,"Math",14,"High","None",5
"GP","Male",16,"Urban","Small","Together","4","2","teacher","other","course","mother",1,"Medium","0","no","no","no","yes","yes","yes","yes","no","4","5","1","1","3","5",2,15,15,16,"Math",15.33,"High","Low",4
"GP","Male",16,"Urban","Small","Together","2","2","other","other","reputation","mother",2,"Medium","0","no","yes","no","yes","yes","yes","yes","no","5","4","4","2","4","5",0,13,13,12,"Math",12.67,"Medium","None",3
"GP","Female",15,"Rural","Large","Together","2","4","services","health","course","mother",1,"High","0","yes","yes","yes","yes","yes","yes","yes","no","4","3","2","1","1","5",2,10,9,8,"Math",9,"Low","Low",4
"GP","Female",16,"Urban","Large","Together","2","2","services","services","home","mother",1,"Low","2","no","yes","yes","no","no","yes","yes","no","1","2","2","1","3","5",14,6,9,8,"Math",7.67,"Low","Moderate",3
"GP","Male",15,"Urban","Large","Together","2","2","other","other","home","mother",1,"Low","0","no","yes","yes","no","yes","yes","yes","no","4","2","2","1","2","5",2,12,12,11,"Math",11.67,"Medium","Low",3
"GP","Male",15,"Urban","Large","Together","4","2","health","services","other","mother",1,"Low","0","no","no","yes","no","yes","yes","yes","no","2","2","4","2","4","1",4,15,16,15,"Math",15.33,"High","Low",4
"GP","Male",16,"Urban","Small","Apart","3","4","services","other","home","mother",1,"Medium","0","yes","yes","no","yes","yes","yes","yes","no","5","3","3","1","1","5",4,11,11,11,"Math",11,"Medium","Low",4.5
"GP","Male",16,"Urban","Large","Together","4","4","teacher","teacher","home","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","yes","4","4","5","5","5","5",16,10,12,11,"Math",11,"Medium","High",5
"GP","Male",15,"Urban","Large","Together","4","4","health","services","home","mother",1,"Medium","0","no","yes","yes","no","no","yes","yes","no","5","4","2","3","4","5",0,9,11,12,"Math",10.67,"Medium","None",5
"GP","Male",15,"Urban","Large","Together","4","4","services","services","reputation","mother",2,"Medium","0","no","yes","no","yes","yes","yes","yes","no","4","3","1","1","1","5",0,17,16,17,"Math",16.67,"High","None",5
"GP","Male",15,"Rural","Large","Together","4","3","teacher","at_home","course","mother",1,"Medium","0","no","yes","no","yes","yes","yes","yes","yes","4","5","2","1","1","5",0,17,16,16,"Math",16.33,"High","None",4.5
"GP","Male",15,"Urban","Small","Together","3","3","other","other","course","mother",1,"Medium","0","no","no","no","yes","no","yes","yes","no","5","3","2","1","1","2",0,8,10,12,"Math",10,"Medium","None",4
"GP","Male",16,"Urban","Large","Together","3","2","other","other","home","mother",1,"Low","0","no","yes","yes","no","no","yes","yes","no","5","4","3","1","1","5",0,12,14,15,"Math",13.67,"High","None",3.5
"GP","Female",15,"Urban","Large","Together","2","3","other","other","other","father",2,"Low","0","no","yes","no","yes","yes","yes","no","no","3","5","1","1","1","5",0,8,7,6,"Math",7,"Low","None",3.5
"GP","Male",15,"Urban","Small","Together","4","3","teacher","services","home","mother",1,"High","0","no","yes","no","yes","yes","yes","yes","no","5","4","3","1","1","4",2,15,16,18,"Math",16.33,"High","Low",4.5
"GP","Male",16,"Rural","Large","Apart","4","4","other","teacher","reputation","mother",2,"High","0","no","yes","no","yes","yes","yes","yes","yes","2","4","3","1","1","5",7,15,16,15,"Math",15.33,"High","Moderate",5
"GP","Female",15,"Rural","Large","Together","3","4","services","health","course","mother",1,"High","0","yes","yes","yes","yes","yes","yes","yes","no","4","3","2","1","1","5",2,12,12,11,"Math",11.67,"Medium","Low",4.5
"GP","Female",15,"Rural","Large","Together","2","2","at_home","other","reputation","mother",1,"Low","0","yes","yes","yes","yes","yes","yes","no","no","4","3","1","1","1","2",8,14,13,13,"Math",13.33,"Medium","Moderate",3
"GP","Female",16,"Urban","Small","Together","2","2","other","other","home","mother",2,"Medium","1","no","yes","no","yes","no","yes","yes","yes","3","3","3","1","2","3",25,7,10,11,"Math",9.33,"Medium","High",3
"GP","Male",15,"Urban","Small","Together","4","4","teacher","other","home","other",1,"Low","0","no","yes","no","no","no","yes","yes","yes","5","4","3","2","4","5",8,12,12,12,"Math",12,"Medium","Moderate",5
"GP","Male",15,"Urban","Large","Together","4","4","services","teacher","course","father",1,"Medium","0","no","yes","no","yes","yes","yes","yes","no","4","3","3","1","1","5",2,19,18,18,"Math",18.33,"High","Low",5
"GP","Male",15,"Urban","Large","Together","2","2","services","services","course","father",1,"Low","0","yes","yes","no","no","yes","yes","yes","no","5","4","1","1","1","1",0,8,8,11,"Math",9,"Medium","None",3
"GP","Female",16,"Urban","Small","Together","2","2","other","at_home","course","father",2,"Medium","1","yes","no","no","yes","yes","yes","yes","no","4","3","3","2","2","5",14,10,10,9,"Math",9.67,"Low","Moderate",3
"GP","Female",15,"Urban","Small","Apart","4","3","other","other","course","mother",1,"Medium","0","yes","yes","yes","yes","yes","yes","yes","yes","5","2","2","1","1","5",8,8,8,6,"Math",7.33,"Low","Moderate",4.5
"GP","Female",16,"Urban","Small","Apart","3","3","other","services","home","mother",1,"Medium","0","no","yes","no","no","yes","yes","yes","no","2","3","5","1","4","3",12,11,12,11,"Math",11.33,"Medium","Moderate",4
"GP","Male",16,"Urban","Large","Together","4","3","health","services","reputation","mother",1,"Very High","0","no","no","no","yes","yes","yes","yes","no","4","2","2","1","1","2",4,19,19,20,"Math",19.33,"High","Low",4.5
"GP","Male",15,"Urban","Large","Together","4","2","teacher","other","home","mother",1,"Medium","0","no","yes","yes","no","yes","yes","no","no","4","3","3","2","2","5",2,15,15,14,"Math",14.67,"Medium","Low",4
"GP","Female",15,"Urban","Large","Together","4","4","services","teacher","other","father",1,"Medium","1","yes","yes","no","yes","no","yes","yes","no","4","4","4","1","1","3",2,7,7,7,"Math",7,"Low","Low",5
"GP","Female",16,"Urban","Small","Together","2","2","services","services","course","mother",3,"Medium","0","no","yes","yes","no","yes","yes","yes","no","4","3","3","2","3","4",2,12,13,13,"Math",12.67,"Medium","Low",3
"GP","Female",15,"Urban","Small","Together","4","2","health","other","other","mother",1,"Medium","0","no","yes","yes","no","yes","yes","yes","no","4","3","3","1","1","5",2,11,13,13,"Math",12.33,"Medium","Low",4
"GP","Male",15,"Urban","Small","Apart","4","2","health","health","other","father",2,"Low","1","no","no","no","no","yes","yes","no","no","5","5","5","3","4","5",6,11,11,10,"Math",10.67,"Medium","Moderate",4
"GP","Female",15,"Urban","Large","Together","4","4","services","services","course","mother",1,"Low","0","yes","yes","yes","no","yes","yes","yes","no","3","3","4","2","3","5",0,8,10,11,"Math",9.67,"Medium","None",5
"GP","Female",15,"Urban","Small","Apart","3","3","other","other","other","mother",1,"Low","0","no","no","yes","no","yes","yes","yes","no","5","3","4","4","4","1",6,10,13,13,"Math",12,"Medium","Moderate",4
"GP","Female",16,"Urban","Large","Apart","2","1","other","other","other","mother",1,"Medium","0","no","no","yes","yes","yes","yes","yes","yes","5","3","4","1","1","2",8,8,9,10,"Math",9,"Medium","Moderate",2.5
"GP","Female",15,"Urban","Large","Apart","4","3","services","services","reputation","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","4","3","2","1","1","1",0,14,15,15,"Math",14.67,"High","None",4.5
"GP","Male",15,"Urban","Large","Together","4","4","teacher","health","reputation","mother",1,"Medium","0","no","yes","no","yes","yes","yes","no","no","3","2","2","1","1","5",4,14,15,15,"Math",14.67,"High","Low",5
"GP","Male",15,"Urban","Small","Together","1","2","other","at_home","home","father",1,"Medium","0","yes","yes","no","yes","yes","yes","yes","no","4","3","2","1","1","5",2,9,10,9,"Math",9.33,"Low","Low",2.5
"GP","Female",16,"Urban","Large","Together","4","2","services","other","course","mother",1,"Medium","0","no","yes","no","no","yes","yes","yes","no","4","2","3","1","1","5",2,15,16,16,"Math",15.67,"High","Low",4
"GP","Female",16,"Rural","Large","Together","4","4","health","teacher","other","mother",1,"Medium","0","no","yes","no","yes","yes","yes","no","no","2","4","4","2","3","4",6,10,11,11,"Math",10.67,"Medium","Moderate",5
"GP","Female",16,"Urban","Large","Together","1","1","services","services","course","father",4,"Low","0","yes","yes","no","yes","no","yes","yes","yes","5","5","5","5","5","5",6,10,8,11,"Math",9.67,"Medium","Moderate",2
"GP","Female",16,"Urban","Small","Together","1","2","other","services","reputation","father",1,"Medium","0","yes","no","no","yes","yes","yes","yes","no","4","4","3","1","1","1",4,8,10,9,"Math",9,"Low","Low",2.5
"GP","Female",16,"Urban","Large","Together","4","3","teacher","health","home","mother",1,"High","0","yes","yes","yes","yes","yes","yes","yes","no","3","4","4","2","4","4",2,10,9,9,"Math",9.33,"Low","Low",4.5
"GP","Female",15,"Urban","Small","Together","4","3","services","services","reputation","father",1,"Medium","0","yes","no","no","yes","yes","yes","yes","yes","4","4","4","2","4","2",0,10,10,10,"Math",10,"Medium","None",4.5
"GP","Female",16,"Urban","Small","Together","4","3","teacher","services","course","mother",3,"Medium","0","no","yes","no","yes","yes","yes","yes","no","5","4","3","1","2","1",2,16,15,15,"Math",15.33,"High","Low",4.5
"GP","Male",15,"Urban","Large","Apart","4","4","other","services","reputation","mother",1,"Very High","0","no","yes","no","yes","no","yes","yes","yes","1","3","3","5","5","3",4,13,13,12,"Math",12.67,"Medium","Low",5
"GP","Female",16,"Urban","Large","Together","3","1","services","other","course","mother",1,"Very High","0","yes","yes","yes","no","yes","yes","yes","no","4","3","3","1","2","5",4,7,7,6,"Math",6.67,"Low","Low",3
"GP","Female",15,"Rural","Small","Together","2","2","health","services","reputation","mother",2,"Medium","0","yes","yes","yes","no","yes","yes","yes","no","4","1","3","1","3","4",2,8,9,8,"Math",8.33,"Low","Low",3
"GP","Female",15,"Rural","Small","Together","3","1","other","other","reputation","father",2,"Very High","0","no","yes","no","no","no","yes","yes","no","4","4","2","2","3","3",12,16,16,16,"Math",16,"High","Moderate",3
"GP","Male",16,"Urban","Large","Together","3","1","other","other","reputation","father",2,"Very High","0","no","yes","yes","no","yes","yes","yes","no","4","3","2","1","1","5",0,13,15,15,"Math",14.33,"High","None",3
"GP","Male",15,"Urban","Large","Together","4","2","other","other","course","mother",1,"Very High","0","no","no","no","no","yes","yes","yes","no","3","3","3","1","1","3",0,10,10,10,"Math",10,"Medium","None",4
"GP","Female",15,"Rural","Large","Together","1","1","other","other","reputation","mother",1,"Medium","2","yes","yes","no","no","no","yes","yes","yes","3","3","4","2","4","5",2,8,6,5,"Math",6.33,"Low","Low",2
"GP","Male",16,"Urban","Large","Together","3","1","other","other","reputation","mother",1,"Low","0","no","no","no","yes","yes","yes","no","no","5","3","2","2","2","5",2,12,12,14,"Math",12.67,"Medium","Low",3
"GP","Female",16,"Urban","Large","Together","3","3","other","services","home","mother",1,"Medium","0","yes","yes","yes","yes","yes","yes","yes","no","4","3","3","2","4","5",54,11,12,11,"Math",11.33,"Medium","High",4
"GP","Male",15,"Urban","Large","Together","4","3","teacher","other","home","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","4","3","3","2","3","5",6,9,9,10,"Math",9.33,"Medium","Moderate",4.5
"GP","Male",15,"Urban","Large","Together","4","0","teacher","other","course","mother",2,"Very High","0","no","no","no","yes","yes","yes","yes","no","3","4","3","1","1","1",8,11,11,10,"Math",10.67,"Medium","Moderate",3
"GP","Female",16,"Urban","Large","Together","2","2","other","other","reputation","mother",1,"Very High","0","no","no","yes","no","yes","yes","yes","yes","5","2","3","1","3","3",0,11,11,11,"Math",11,"Medium","None",3
"GP","Male",17,"Urban","Large","Together","2","1","other","other","home","mother",2,"Low","3","yes","yes","no","yes","yes","no","yes","no","4","5","1","1","1","3",2,8,8,10,"Math",8.67,"Medium","Low",2.5
"GP","Female",16,"Urban","Large","Together","3","4","at_home","other","course","mother",1,"Medium","0","no","yes","no","no","yes","yes","yes","no","2","4","3","1","2","3",12,5,5,5,"Math",5,"Low","Moderate",4.5
"GP","Male",15,"Urban","Large","Together","2","3","other","services","course","father",1,"Low","0","yes","yes","yes","yes","no","yes","yes","yes","3","2","2","1","3","3",2,10,12,12,"Math",11.33,"Medium","Low",3.5
"GP","Male",15,"Urban","Large","Together","2","3","other","other","home","mother",1,"High","0","yes","no","yes","no","no","yes","yes","no","5","3","2","1","2","5",4,11,10,11,"Math",10.67,"Medium","Low",3.5
"GP","Female",15,"Urban","Small","Together","3","2","services","other","reputation","mother",1,"Medium","0","no","yes","yes","no","yes","yes","yes","no","4","4","4","1","1","5",10,7,6,6,"Math",6.33,"Low","Moderate",3.5
"GP","Male",15,"Urban","Small","Together","2","2","services","services","home","mother",2,"Medium","0","no","no","yes","yes","yes","yes","yes","no","5","3","3","1","3","4",4,15,15,15,"Math",15,"High","Low",3
"GP","Female",15,"Urban","Large","Together","1","1","other","other","home","father",1,"Medium","0","no","yes","no","yes","no","yes","yes","no","4","3","2","2","3","4",2,9,10,10,"Math",9.67,"Medium","Low",2
"GP","Female",15,"Urban","Large","Together","4","4","services","services","reputation","father",2,"Medium","2","no","no","yes","no","yes","yes","yes","yes","4","4","4","2","3","5",6,7,9,8,"Math",8,"Low","Moderate",5
"GP","Female",16,"Urban","Small","Together","2","2","at_home","other","course","mother",1,"Medium","0","no","yes","no","no","yes","yes","no","no","4","3","4","1","2","2",4,8,7,6,"Math",7,"Low","Low",3
"GP","Female",15,"Urban","Large","Together","4","2","other","other","reputation","mother",1,"High","0","no","yes","no","yes","yes","yes","yes","no","5","3","3","1","3","1",4,13,14,14,"Math",13.67,"Medium","Low",4
"GP","Male",16,"Urban","Large","Together","2","2","services","other","reputation","father",2,"Medium","1","no","no","yes","yes","no","yes","yes","no","4","4","2","1","1","3",12,11,10,10,"Math",10.33,"Medium","Moderate",3
"GP","Male",16,"Urban","Small","Apart","4","4","teacher","health","reputation","mother",1,"Medium","0","no","yes","no","no","yes","yes","no","no","4","1","3","3","5","5",18,8,6,7,"Math",7,"Low","High",5
"GP","Female",16,"Urban","Large","Together","3","3","other","other","home","mother",1,"High","0","no","yes","yes","no","yes","yes","yes","yes","4","3","3","1","3","4",0,7,7,8,"Math",7.33,"Low","None",4
"GP","Female",15,"Urban","Large","Together","4","3","services","other","reputation","mother",1,"Low","0","no","no","yes","yes","yes","yes","yes","no","4","5","5","1","3","1",4,16,17,18,"Math",17,"High","Low",4.5
"GP","Female",16,"Urban","Small","Together","3","1","other","other","home","father",1,"Medium","0","yes","yes","no","no","yes","yes","no","no","3","3","3","2","3","2",4,7,6,6,"Math",6.33,"Low","Low",3
"GP","Female",16,"Urban","Large","Together","4","2","teacher","services","home","mother",2,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","5","3","3","1","1","1",0,11,10,10,"Math",10.33,"Medium","None",4
"GP","Male",15,"Urban","Small","Together","2","2","services","health","reputation","mother",1,"Very High","0","no","yes","no","yes","yes","yes","yes","no","4","3","4","1","1","4",6,11,13,14,"Math",12.67,"Medium","Moderate",3
"GP","Female",15,"Rural","Large","Together","1","1","at_home","other","home","mother",2,"Very High","1","yes","yes","yes","yes","yes","yes","yes","no","3","1","2","1","1","1",2,7,10,10,"Math",9,"Medium","Low",2
"GP","Male",16,"Rural","Large","Together","4","3","services","other","reputation","mother",2,"Low","0","yes","yes","no","yes","no","yes","yes","no","3","3","3","1","1","4",2,11,15,15,"Math",13.67,"High","Low",4.5
"GP","Female",16,"Urban","Large","Together","2","1","other","other","course","mother",1,"Medium","0","no","yes","yes","no","yes","yes","no","yes","4","3","5","1","1","5",2,8,9,10,"Math",9,"Medium","Low",2.5
"GP","Female",16,"Urban","Large","Together","4","4","other","other","reputation","mother",1,"Low","0","no","no","no","yes","no","yes","yes","no","5","3","4","1","2","1",6,11,14,14,"Math",13,"Medium","Moderate",5
"GP","Female",16,"Urban","Large","Together","4","3","other","at_home","course","mother",1,"High","0","yes","yes","yes","no","yes","yes","yes","no","5","3","5","1","1","3",0,7,9,8,"Math",8,"Low","None",4.5
"GP","Male",16,"Urban","Large","Together","4","4","services","services","other","mother",1,"Low","0","yes","yes","yes","yes","yes","yes","yes","no","4","5","5","5","5","4",14,7,7,5,"Math",6.33,"Low","Moderate",5
"GP","Male",16,"Urban","Large","Together","4","4","services","teacher","other","father",1,"High","0","no","yes","no","yes","yes","yes","yes","yes","4","4","3","1","1","4",0,16,17,17,"Math",16.67,"High","None",5
"GP","Male",15,"Urban","Large","Together","4","4","services","other","course","mother",1,"Low","0","no","yes","no","yes","no","yes","yes","no","5","3","3","1","1","5",4,10,13,14,"Math",12.33,"Medium","Low",5
"GP","Female",15,"Urban","Large","Together","3","2","services","other","home","mother",2,"Medium","0","yes","yes","yes","no","yes","yes","yes","no","4","3","5","1","1","2",26,7,6,6,"Math",6.33,"Low","High",3.5
"GP","Male",15,"Urban","Large","Apart","3","4","services","other","course","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","5","4","4","1","1","1",0,16,18,18,"Math",17.33,"High","None",4.5
"GP","Female",15,"Urban","Large","Apart","3","3","other","health","reputation","father",1,"Very High","0","yes","no","no","no","yes","yes","no","no","4","3","3","1","1","4",10,10,11,11,"Math",10.67,"Medium","Moderate",4
"GP","Female",15,"Urban","Large","Together","2","2","other","other","course","mother",1,"Very High","0","yes","yes","yes","no","yes","yes","yes","no","5","1","2","1","1","3",8,7,8,8,"Math",7.67,"Low","Moderate",3
"GP","Male",16,"Urban","Large","Together","3","3","services","other","home","father",1,"High","0","no","yes","no","yes","yes","yes","yes","no","5","3","3","1","1","5",2,16,18,18,"Math",17.33,"High","Low",4
"GP","Male",15,"Rural","Large","Together","4","4","other","other","home","father",4,"Very High","0","no","yes","yes","yes","yes","yes","yes","yes","1","3","5","3","5","1",6,10,13,13,"Math",12,"Medium","Moderate",5
"GP","Female",16,"Urban","Small","Together","4","4","health","health","other","mother",1,"High","0","no","yes","yes","yes","yes","yes","yes","yes","5","4","5","1","1","4",4,14,15,16,"Math",15,"High","Low",5
"GP","Male",15,"Urban","Small","Apart","4","4","teacher","teacher","course","mother",1,"Low","0","no","no","no","yes","yes","yes","yes","no","5","5","3","1","1","4",6,18,19,19,"Math",18.67,"High","Moderate",5
"GP","Female",16,"Rural","Large","Together","3","3","services","other","reputation","father",1,"High","1","yes","yes","no","yes","yes","yes","yes","no","4","1","2","1","1","2",0,7,10,10,"Math",9,"Medium","None",4
"GP","Female",16,"Urban","Large","Together","2","2","at_home","other","home","mother",1,"Medium","1","yes","no","no","yes","yes","yes","yes","no","3","1","2","1","1","5",6,10,13,13,"Math",12,"Medium","Moderate",3
"GP","Male",15,"Urban","Small","Together","4","2","teacher","other","course","mother",1,"Low","0","no","no","no","no","yes","yes","yes","no","3","5","2","1","1","3",10,18,19,19,"Math",18.67,"High","Moderate",4
"GP","Male",15,"Rural","Large","Together","2","1","health","services","reputation","mother",1,"Medium","0","no","no","no","yes","yes","yes","yes","yes","5","4","2","1","1","5",8,9,9,9,"Math",9,"Low","Moderate",2.5
"GP","Male",16,"Urban","Large","Together","4","4","teacher","teacher","course","father",1,"Medium","0","no","yes","no","yes","yes","yes","yes","no","5","4","4","1","2","5",2,15,15,16,"Math",15.33,"High","Low",5
"GP","Male",15,"Urban","Large","Together","4","4","other","teacher","reputation","father",2,"Medium","0","no","yes","no","yes","yes","yes","no","no","4","4","3","1","1","2",2,11,13,14,"Math",12.67,"Medium","Low",5
"GP","Male",16,"Urban","Large","Together","3","3","other","services","home","father",2,"Low","0","no","no","no","yes","yes","yes","yes","no","5","4","2","1","1","5",0,13,14,13,"Math",13.33,"Medium","None",4
"GP","Male",17,"Rural","Large","Together","1","3","other","other","course","father",3,"Medium","1","no","yes","no","yes","yes","yes","yes","no","5","2","4","1","4","5",20,9,7,8,"Math",8,"Low","High",3
"GP","Male",15,"Urban","Large","Together","3","4","other","other","reputation","father",1,"Low","0","no","no","no","no","yes","yes","yes","no","3","4","3","1","2","4",6,14,13,13,"Math",13.33,"Medium","Moderate",4.5
"GP","Female",15,"Urban","Large","Together","1","2","at_home","services","course","mother",1,"Medium","0","no","no","no","no","no","yes","yes","no","3","2","3","1","2","1",2,16,15,15,"Math",15.33,"High","Low",2.5
"GP","Male",15,"Urban","Large","Together","2","2","services","services","home","father",1,"Very High","0","no","yes","yes","yes","yes","yes","yes","no","5","5","4","1","2","5",6,16,14,15,"Math",15,"High","Moderate",3
"GP","Female",16,"Urban","Small","Together","2","4","other","health","course","father",2,"Medium","0","no","yes","yes","yes","yes","yes","yes","yes","4","2","2","1","2","5",2,13,13,13,"Math",13,"Medium","Low",4
"GP","Male",16,"Urban","Large","Together","4","4","health","other","course","mother",1,"Low","0","no","yes","no","yes","yes","yes","yes","no","3","4","4","1","4","5",18,14,11,13,"Math",12.67,"Medium","High",5
"GP","Female",16,"Urban","Large","Together","2","2","other","other","home","mother",1,"Medium","0","no","no","yes","no","yes","yes","yes","yes","5","4","4","1","1","5",0,8,7,8,"Math",7.67,"Low","None",3
"GP","Male",15,"Urban","Large","Together","3","4","services","services","home","father",1,"Low","0","yes","no","no","no","yes","yes","yes","no","5","5","5","3","2","5",0,13,13,12,"Math",12.67,"Medium","None",4.5
"GP","Female",15,"Urban","Small","Apart","3","4","other","other","home","mother",1,"Medium","0","yes","no","no","yes","yes","yes","yes","yes","5","3","2","1","1","1",0,7,10,11,"Math",9.33,"Medium","None",4.5
"GP","Female",19,"Urban","Large","Together","0","1","at_home","other","course","other",1,"Medium","3","no","yes","no","no","no","no","no","no","3","4","2","1","1","5",2,7,8,9,"Math",8,"Low","Low",1.5
"GP","Male",18,"Rural","Large","Together","2","2","services","other","reputation","mother",1,"Low","2","no","yes","no","yes","yes","yes","yes","no","3","3","3","1","2","4",0,7,4,0,"Math",3.67,"Low","None",3
"GP","Male",16,"Rural","Large","Together","4","4","teacher","teacher","course","mother",1,"Low","0","no","no","yes","yes","yes","yes","yes","no","3","5","5","2","5","4",8,18,18,18,"Math",18,"High","Moderate",5
"GP","Female",15,"Rural","Large","Together","3","4","services","teacher","course","father",2,"High","2","no","yes","no","no","yes","yes","yes","yes","4","2","2","2","2","5",0,12,0,0,"Math",4,"Low","None",4.5
"GP","Female",15,"Urban","Large","Together","1","1","at_home","other","course","mother",3,"Low","0","no","yes","no","yes","no","yes","yes","yes","4","3","3","1","2","4",0,8,0,0,"Math",2.67,"Low","None",2
"GP","Female",17,"Urban","Small","Together","2","2","other","other","course","father",1,"Low","0","no","yes","no","no","yes","yes","yes","yes","3","4","4","1","3","5",12,10,13,12,"Math",11.67,"Medium","Moderate",3
"GP","Female",16,"Urban","Large","Apart","3","4","services","other","course","father",1,"Low","0","no","no","no","no","yes","yes","yes","no","3","2","1","1","4","5",16,12,11,11,"Math",11.33,"Medium","High",4.5
"GP","Male",15,"Rural","Large","Together","3","4","at_home","teacher","course","mother",4,"Medium","0","no","yes","no","no","yes","yes","no","yes","5","3","3","1","1","5",0,9,0,0,"Math",3,"Low","None",4.5
